contrast,dissimilarity,homogeneity,energy,correlation,entropy,asm
[0.0],[0.0],[1.0],[0.031103854974527757],[44267194491.06075],[4.8081948611058465],[0.031103854974527757]
[0.0],[0.0],[1.0],[0.0206069067738457],[75568266519.5892],[4.984064644809662],[0.0206069067738457]
[0.0],[0.0],[1.0000000000000002],[0.0177443220848478],[115859088407.18906],[5.033505295413145],[0.0177443220848478]
[0.0],[0.0],[1.0],[0.02692649298298337],[82390600440.37985],[4.747928438369733],[0.02692649298298337]
[0.0],[0.0],[1.0],[0.011820613113498833],[156347247730.61728],[5.175585449092646],[0.011820613113498833]
[0.0],[0.0],[1.0],[0.020552764918455434],[81382269875.00635],[4.999816425173448],[0.020552764918455434]
[0.0],[0.0],[1.0],[0.026176192936726416],[63284274072.30964],[4.935165001861131],[0.026176192936726416]
[0.0],[0.0],[0.9999999999999999],[0.010078004806895725],[166397247986.92084],[5.160381062208795],[0.010078004806895725]
[0.0],[0.0],[1.0],[0.021196696129835296],[89922253290.8713],[4.980932574572611],[0.021196696129835296]
[0.0],[0.0],[1.0],[0.019582738681045896],[71450807066.70753],[5.003749651409864],[0.019582738681045896]
[0.0],[0.0],[1.0],[0.023039000093594813],[96756129642.74516],[4.948402874661246],[0.023039000093594813]
[0.0],[0.0],[1.0],[0.00770144052086336],[258306625024.90002],[5.210820029534389],[0.00770144052086336]
[0.0],[0.0],[1.0],[0.006914115586454633],[272225636736.96545],[5.225252647583605],[0.006914115586454633]
[0.0],[0.0],[1.0],[0.028606423085597178],[76581602224.58438],[4.806064921367433],[0.028606423085597178]
[0.0],[0.0],[1.0],[0.044607677235688065],[48720582239.66707],[4.717206902370124],[0.044607677235688065]
[0.0],[0.0],[1.0],[0.013194288636172124],[105967035682.73515],[5.0548834542089445],[0.013194288636172124]
[0.0],[0.0],[1.0],[0.02215066945286083],[81658302432.43478],[4.939663390283253],[0.02215066945286083]
[0.0],[0.0],[1.0],[0.022039652901192565],[79010208099.86005],[5.035694638088288],[0.022039652901192565]
[0.0],[0.0],[1.0],[0.02260343461252179],[77315342323.45055],[4.892507203218045],[0.02260343461252179]
[0.0],[0.0],[1.0],[0.012747866743059718],[164345603006.56674],[5.127844332496703],[0.012747866743059718]
[0.0],[0.0],[1.0],[0.014358721397011123],[162832589543.2366],[4.893602065521654],[0.014358721397011123]
[0.0],[0.0],[1.0],[0.015026562220546647],[159587820814.2775],[4.928543588184253],[0.015026562220546647]
[0.0],[0.0],[1.0],[0.011403727698030185],[146062653717.2963],[5.137989844011255],[0.011403727698030185]
[0.0],[0.0],[1.0],[0.009135464724386252],[174606201821.19757],[5.188590607605311],[0.009135464724386252]
[0.0],[0.0],[1.0],[0.014240996550705005],[123773177632.2881],[5.108668013307142],[0.014240996550705005]
[0.0],[0.0],[1.0000000000000002],[0.029026015703918218],[54911854290.76783],[4.892368669181534],[0.029026015703918218]
[0.0],[0.0],[1.0],[0.017671557865762882],[82727930358.42993],[5.017268086550728],[0.017671557865762882]
[0.0],[0.0],[1.0],[0.013439899908022369],[118727446079.088],[5.060133310420744],[0.013439899908022369]
[0.0],[0.0],[0.9999999999999999],[0.010118004804909268],[130179857632.89116],[5.173639986081799],[0.010118004804909268]
[0.0],[0.0],[1.0],[0.015694899872133898],[122547961305.94728],[5.0117356485925795],[0.015694899872133898]
[0.0],[0.0],[1.0],[0.023178942304471158],[61083836606.626175],[4.928984352782254],[0.023178942304471158]
[0.0],[0.0],[0.9999999999999999],[0.01918048692058535],[63221072979.100555],[4.837831531489623],[0.01918048692058535]
[0.0],[0.0],[1.0],[0.0098999971810652],[198047800091.54138],[5.167180496767894],[0.0098999971810652]
[0.0],[0.0],[1.0],[0.021950713398642345],[115550917175.46912],[4.7102134558531645],[0.021950713398642345]
[0.0],[0.0],[1.0],[0.013006330853295521],[153405100862.84256],[5.085105339917277],[0.013006330853295521]
[0.0],[0.0],[1.0],[0.03132624505796348],[63348957872.14755],[4.823733447959289],[0.03132624505796348]
[0.0],[0.0],[1.0000000000000002],[0.02059555809589047],[106376006782.4516],[4.780642084930507],[0.02059555809589047]
[0.0],[0.0],[1.0],[0.015989261012007486],[88498392029.36545],[5.017810788816263],[0.015989261012007486]
[0.0],[0.0],[0.9999999999999999],[0.013754537877653178],[95790415310.3312],[5.079547237231628],[0.013754537877653178]
[0.0],[0.0],[1.0],[0.03776759257763894],[54366312294.761444],[4.746202543853086],[0.03776759257763894]
[0.0],[0.0],[1.0],[0.015454303014391359],[152289077207.61737],[4.810968204349523],[0.015454303014391359]
[0.0],[0.0],[1.0],[0.018600829519527226],[111167327289.87885],[4.842851601846314],[0.018600829519527226]
[0.0],[0.0],[1.0],[0.00852826715220297],[230366513830.3059],[5.173986976735147],[0.00852826715220297]
[0.0],[0.0],[1.0],[0.013625965941247372],[172860562958.79327],[4.823524169333147],[0.013625965941247372]
[0.0],[0.0],[1.0000000000000002],[0.01186345526320054],[109978514367.56995],[5.158811795930394],[0.01186345526320054]
[0.0],[0.0],[1.0000000000000002],[0.014321388652490203],[122990201632.19295],[5.132222961829268],[0.014321388652490203]
